HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7183656746174450633,BUY,0.245,30000,143,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031755394525,BUY,0.24,30000,149,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207570765144,BUY,0.23500000000000001,50000,160,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184844218732176681,BUY,0.27,36000,9,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103452772,BUY,0.27,60000,11,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570359513980,BUY,0.265,203100,22,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103843208,BUY,0.255,30000,100,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207569809294,BUY,0.22,50000,191,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983104432579,BUY,0.27,2500,16,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178115207569473912,BUY,0.215,1000000,197,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570360417486,BUY,0.265,2500,28,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7182073449429427195,BUY,0.25,100000,123,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031755394518,BUY,0.2,50000,198,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545902645,BUY,0.27,2500,4,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184844218732662415,BUY,0.27,66000,10,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7177500580569462142,BUY,0.225,500000,180,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570361078894,BUY,0.265,336700,33,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570361078891,BUY,0.265,519700,31,,BUY,,,,,BUY,,BUY,,
